origen,destino,distancia_km,factor_trafico,peso,peso_h00,peso_h01,peso_h02,peso_h03,peso_h04,peso_h05,peso_h06,peso_h07,peso_h08,peso_h09,peso_h10,peso_h11,peso_h12,peso_h13,peso_h14,peso_h15,peso_h16,peso_h17,peso_h18,peso_h19,peso_h20,peso_h21,peso_h22,peso_h23,tipo_ruta
V0_0,V0_1,0.376,1.0,0.376,0.376,0.376,0.376,0.376,0.414,0.451,0.527,0.602,0.564,0.489,0.451,0.414,0.451,0.489,0.527,0.564,0.64,0.677,0.602,0.527,0.451,0.414,0.414,0.376,vial-vial
V0_1,V0_2,0.204,1.0,0.204,0.204,0.204,0.204,0.204,0.224,0.245,0.286,0.326,0.306,0.265,0.245,0.224,0.245,0.265,0.286,0.306,0.347,0.367,0.326,0.286,0.245,0.224,0.224,0.204,vial-vial
V1_0,V1_1,0.332,1.0,0.332,0.332,0.332,0.332,0.332,0.365,0.398,0.465,0.531,0.498,0.432,0.398,0.365,0.398,0.432,0.465,0.498,0.564,0.598,0.531,0.465,0.398,0.365,0.365,0.332,vial-vial
V1_1,V1_2,0.064,1.0,0.064,0.064,0.064,0.064,0.064,0.07,0.077,0.09,0.102,0.096,0.083,0.077,0.07,0.077,0.083,0.09,0.096,0.109,0.115,0.102,0.09,0.077,0.07,0.07,0.064,vial-vial
V2_0,V2_1,0.109,1.0,0.109,0.12,0.12,0.12,0.12,0.131,0.142,0.174,0.196,0.185,0.164,0.142,0.131,0.142,0.153,0.164,0.185,0.207,0.218,0.196,0.174,0.153,0.142,0.131,0.12,vial-vial
V2_1,V2_2,0.169,1.0,0.169,0.186,0.186,0.186,0.186,0.203,0.22,0.271,0.305,0.288,0.254,0.22,0.203,0.22,0.237,0.254,0.288,0.322,0.339,0.305,0.271,0.237,0.22,0.203,0.186,vial-vial
V3_0,V3_1,1.886,1.0,1.886,1.886,1.886,1.886,1.886,2.075,2.264,2.641,3.018,2.83,2.452,2.264,2.075,2.264,2.452,2.641,2.83,3.207,3.395,3.018,2.641,2.264,2.075,2.075,1.886,vial-vial
V3_1,V3_2,0.961,1.0,0.961,0.961,0.961,0.961,0.961,1.058,1.154,1.346,1.538,1.442,1.25,1.154,1.058,1.154,1.25,1.346,1.442,1.634,1.731,1.538,1.346,1.154,1.058,1.058,0.961,vial-vial
V4_0,V4_1,0.197,1.0,0.197,0.197,0.197,0.197,0.197,0.217,0.236,0.276,0.315,0.295,0.256,0.236,0.217,0.236,0.256,0.276,0.295,0.335,0.355,0.315,0.276,0.236,0.217,0.217,0.197,vial-vial
V4_1,V4_2,0.134,1.0,0.134,0.134,0.134,0.134,0.134,0.148,0.161,0.188,0.215,0.201,0.175,0.161,0.148,0.161,0.175,0.188,0.201,0.228,0.242,0.215,0.188,0.161,0.148,0.148,0.134,vial-vial
